Ave,Codigo,Especie
1,4,Ganso
2,2,Frango
3,1,Pato
4,2,Frango
5,2,Frango
6,5,Marreco
7,3,Peru
8,2,Frango
9,2,Frango
10,2,Frango
11,3,Peru
12,5,Marreco
13,1,Pato
14,5,Marreco
15,5,Marreco
16,2,Frango
17,3,Peru
18,1,Pato
19,1,Pato
20,5,Marreco
21,3,Peru
22,5,Marreco
23,2,Frango
24,2,Frango
25,4,Ganso
26,4,Ganso
27,1,Pato
28,3,Peru
29,5,Marreco
30,2,Frango
31,5,Marreco
32,4,Ganso
33,4,Ganso
34,3,Peru
35,1,Pato
36,4,Ganso
37,2,Frango
38,5,Marreco
39,4,Ganso
40,4,Ganso
41,1,Pato
42,5,Marreco
43,2,Frango
44,5,Marreco
45,5,Marreco
46,5,Marreco
47,2,Frango
48,3,Peru
49,2,Frango
50,4,Ganso
51,5,Marreco
52,4,Ganso
53,3,Peru
54,5,Marreco
55,3,Peru
56,4,Ganso
57,1,Pato
58,4,Ganso
59,1,Pato
60,4,Ganso
61,2,Frango
62,2,Frango
63,4,Ganso
64,4,Ganso
65,5,Marreco
66,1,Pato
67,5,Marreco
68,3,Peru
69,5,Marreco
70,2,Frango
71,3,Peru
72,1,Pato
73,1,Pato
74,1,Pato
75,3,Peru
76,2,Frango
77,5,Marreco
78,4,Ganso
79,5,Marreco
80,1,Pato
81,1,Pato
82,3,Peru
83,2,Frango
84,2,Frango
85,1,Pato
86,2,Frango
87,3,Peru
88,2,Frango
89,2,Frango
90,2,Frango
91,2,Frango
92,3,Peru
93,2,Frango
94,4,Ganso
95,3,Peru
96,1,Pato
97,1,Pato
98,3,Peru
99,3,Peru
100,5,Marreco
101,4,Ganso
102,2,Frango
103,5,Marreco
104,1,Pato
105,4,Ganso
106,5,Marreco
107,1,Pato
108,1,Pato
109,3,Peru
110,1,Pato
111,1,Pato
112,5,Marreco
113,4,Ganso
114,3,Peru
115,5,Marreco
116,2,Frango
117,3,Peru
118,1,Pato
119,1,Pato
120,3,Peru
121,4,Ganso
122,2,Frango
123,4,Ganso
124,4,Ganso
125,2,Frango
126,3,Peru
127,3,Peru
128,4,Ganso
129,2,Frango
130,1,Pato
131,4,Ganso
132,3,Peru
133,3,Peru
134,2,Frango
135,2,Frango
136,4,Ganso
137,5,Marreco
138,1,Pato
139,3,Peru
140,2,Frango
141,3,Peru
142,5,Marreco
143,2,Frango
144,5,Marreco
145,2,Frango
146,2,Frango
147,2,Frango
148,1,Pato
149,5,Marreco
150,5,Marreco
151,3,Peru
152,5,Marreco
153,4,Ganso
154,5,Marreco
155,4,Ganso
156,3,Peru
157,1,Pato
158,4,Ganso
159,2,Frango
160,1,Pato
161,4,Ganso
162,3,Peru
163,2,Frango
164,5,Marreco
165,1,Pato
166,3,Peru
167,5,Marreco
168,4,Ganso
169,1,Pato
170,5,Marreco
171,5,Marreco
172,5,Marreco
173,4,Ganso
174,3,Peru
175,5,Marreco
176,4,Ganso
177,2,Frango
178,3,Peru
179,2,Frango
180,5,Marreco
181,4,Ganso
182,4,Ganso
183,1,Pato
184,3,Peru
185,3,Peru
186,2,Frango
187,1,Pato
188,1,Pato
189,5,Marreco
190,2,Frango
191,3,Peru
192,2,Frango
193,5,Marreco
194,5,Marreco
195,4,Ganso
196,4,Ganso
197,3,Peru
198,5,Marreco
199,3,Peru
200,5,Marreco
201,1,Pato
202,2,Frango
203,3,Peru
204,5,Marreco
205,3,Peru
206,4,Ganso
207,4,Ganso
208,3,Peru
209,4,Ganso
210,3,Peru
211,5,Marreco
212,1,Pato
213,1,Pato
214,3,Peru
215,3,Peru
216,1,Pato
217,3,Peru
218,1,Pato
219,4,Ganso
220,3,Peru
221,4,Ganso
222,2,Frango
223,2,Frango
224,5,Marreco
225,5,Marreco
226,3,Peru
227,5,Marreco
228,4,Ganso
229,4,Ganso
230,2,Frango
231,2,Frango
232,3,Peru
233,5,Marreco
234,3,Peru
235,1,Pato
236,3,Peru
237,2,Frango
238,3,Peru
239,3,Peru
240,1,Pato
241,3,Peru
242,5,Marreco
243,4,Ganso
244,1,Pato
245,3,Peru
246,5,Marreco
247,3,Peru
248,2,Frango
249,4,Ganso
250,1,Pato
251,1,Pato
252,1,Pato
253,3,Peru
254,1,Pato
255,5,Marreco
256,4,Ganso
257,1,Pato
258,4,Ganso
259,2,Frango
260,3,Peru
261,2,Frango
262,2,Frango
263,2,Frango
264,2,Frango
265,1,Pato
266,3,Peru
267,5,Marreco
268,2,Frango
269,2,Frango
270,5,Marreco
271,4,Ganso
272,1,Pato
273,5,Marreco
274,3,Peru
275,4,Ganso
276,1,Pato
277,5,Marreco
278,2,Frango
279,4,Ganso
280,5,Marreco
281,5,Marreco
282,3,Peru
283,3,Peru
284,2,Frango
285,4,Ganso
286,4,Ganso
287,5,Marreco
288,2,Frango
289,3,Peru
290,3,Peru
291,5,Marreco
292,5,Marreco
293,2,Frango
294,4,Ganso
295,4,Ganso
296,1,Pato
297,4,Ganso
298,1,Pato
299,5,Marreco
300,1,Pato
301,3,Peru
302,4,Ganso
303,5,Marreco
304,1,Pato
305,4,Ganso
306,3,Peru
307,5,Marreco
308,3,Peru
309,1,Pato
310,1,Pato
311,3,Peru
312,3,Peru
313,1,Pato
314,2,Frango
315,4,Ganso
316,2,Frango
317,2,Frango
318,2,Frango
319,3,Peru
320,5,Marreco
321,1,Pato
322,3,Peru
323,2,Frango
324,3,Peru
325,3,Peru
326,1,Pato
327,5,Marreco
328,5,Marreco
329,4,Ganso
330,1,Pato
331,1,Pato
332,2,Frango
333,1,Pato
334,4,Ganso
335,5,Marreco
336,2,Frango
337,3,Peru
338,2,Frango
339,4,Ganso
340,3,Peru
341,1,Pato
342,3,Peru
343,5,Marreco
344,4,Ganso
345,2,Frango
346,2,Frango
347,1,Pato
348,2,Frango
349,3,Peru
350,2,Frango
351,5,Marreco
352,2,Frango
353,1,Pato
354,4,Ganso
355,2,Frango
356,4,Ganso
357,1,Pato
358,1,Pato
359,4,Ganso
360,2,Frango
361,1,Pato
362,4,Ganso
363,3,Peru
364,4,Ganso
